#{"t_start": 1771500540.2908065, "env_id": "commonroad-v1"}
r,l,t,is_collision,is_time_out,is_off_road,is_friction_violation,is_goal_reached
331.778862,1,519.084727,0,0,0,0,1
331.773498,1,519.197044,0,0,1,0,0
331.981299,1,519.38807,0,0,0,0,1
331.930999,1,519.605602,0,0,0,0,1
331.997292,1,519.693636,0,0,0,0,1
97.729568,11,520.553445,0,0,1,0,0
328.180224,16,522.48422,0,0,1,0,0
331.930998,1,522.628429,0,0,0,0,1
157.764078,11,523.33676,0,0,1,0,0
331.931004,1,523.621696,0,0,0,0,1
331.800053,1,523.855635,0,0,0,0,1
765.788448,31,526.15264,1,0,0,0,0
386.640076,25,533.566367,0,0,1,0,0
331.93954,1,534.005096,0,0,0,0,1
331.863404,1,534.266446,0,0,0,0,1
84.011156,8,535.713946,0,0,1,0,0
331.826744,1,536.312261,0,0,0,0,1
536.072316,23,537.927028,0,0,1,0,0
220.825301,15,539.138383,0,0,1,0,0
-138.063928,1,539.289942,1,0,0,0,0
324.129458,1,539.388154,0,0,1,0,0
331.800053,1,539.440273,0,0,0,0,1
331.859288,1,539.948817,1,0,0,0,0
331.939544,1,540.319207,0,0,0,0,1
331.939539,1,540.756958,0,0,0,0,1
252.283551,12,541.605872,0,0,1,0,0
331.997291,1,541.824673,0,0,0,0,1
331.846567,1,542.124627,0,0,1,0,0
-124.97687,10,542.850941,0,0,1,0,0
331.931002,1,543.120041,0,0,0,0,1
331.800054,1,543.203309,0,0,0,0,1
331.972864,1,543.325377,0,0,0,0,1
331.859284,1,543.833315,1,0,0,0,0
45.505816,9,544.427636,0,0,1,0,0
331.846563,1,544.494934,0,0,1,0,0
331.778864,1,544.818901,0,0,0,0,1
215.759239,15,546.067811,0,0,1,0,0
331.930998,1,546.170382,0,0,0,0,1
331.939542,1,546.601305,0,0,0,0,1
229.567462,12,548.691259,0,0,1,0,0
166.538899,13,550.29214,0,0,1,0,0
746.01867,24,551.161182,0,0,1,0,0
-128.857502,5,556.91667,1,0,0,0,0
1399.464761,58,558.744653,0,0,1,0,0
57.345718,6,558.896052,0,0,1,0,0
331.997288,1,558.942569,0,0,0,0,1
-101.972454,2,559.173568,1,0,0,0,0
51.419706,9,559.627167,0,0,1,0,0
413.696727,24,562.483804,0,0,1,0,0
331.826743,1,562.776372,0,0,0,0,1
86.818955,7,563.380904,0,0,1,0,0
-144.18127,3,563.731461,0,0,1,0,0
331.909529,1,563.947747,0,0,0,0,1
164.537429,9,564.177567,0,0,1,0,0
331.859286,1,564.230256,1,0,0,0,0
331.997292,1,564.323543,0,0,0,0,1
331.931001,1,564.450729,0,0,0,0,1
331.826745,1,564.544516,0,0,0,0,1
211.817772,11,565.586541,0,0,1,0,0
59.206928,6,565.872058,0,0,1,0,0
480.687986,25,566.375466,0,0,1,0,0
331.859285,1,566.830998,1,0,0,0,0
331.968283,1,566.949355,0,0,0,0,1
656.872432,25,568.329775,0,0,1,0,0
30.983565,5,568.589629,0,0,1,0,0
741.767073,34,571.070467,0,0,1,0,0
331.828618,1,571.226968,0,0,0,0,1
331.852831,1,571.353252,0,0,1,0,0
152.62822,10,572.269517,1,0,0,0,0
331.931001,1,572.341272,0,0,0,0,1
223.233933,13,573.937188,0,0,1,0,0
358.827008,18,580.782661,0,0,1,0,0
640.232487,27,582.393958,0,0,1,0,0
311.637257,15,602.315721,0,0,1,0,0
331.93954,1,602.630766,0,0,0,0,1
736.542408,36,605.818066,0,0,1,0,0
-141.811747,12,606.110481,0,0,1,0,0
830.806824,36,610.007239,1,0,0,0,0
-52.451233,7,610.732141,0,0,1,0,0
-122.984817,5,611.243856,0,0,1,0,0
331.997289,1,611.290123,0,0,0,0,1
331.931004,1,611.402386,0,0,0,0,1
331.863407,1,611.654983,0,0,0,0,1
331.931002,1,611.76689,0,0,0,0,1
331.800052,1,611.982877,0,0,0,0,1
275.818611,13,613.942618,0,0,1,0,0
331.881733,1,614.25182,0,0,1,0,0
101.519435,13,615.710443,0,0,1,0,0
422.446089,21,617.372193,0,0,1,0,0
348.091211,18,623.176065,0,0,1,0,0
-114.246298,3,623.326687,0,0,1,0,0
331.920201,1,623.68389,0,0,0,0,1
331.800055,1,623.764986,0,0,0,0,1
331.938691,1,623.853842,0,0,0,0,1
